Error   Error
Error   Error
Error   Error
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
Error   Error
Error   Error
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
Error   Error
Error   Error
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000
201602260000000000000271   123456789000000000000000

Success: 90  EPC Fail: 0  Data Fail: 0  EPC/Data Fail: 10
